# LEFT_THALAMUS RIGHT_THALAMUS LEFT_CAUDATE RIGHT_CAUDATE LEFT_PUTAMEN RIGHT_PUTAMEN LEFT_GLOBUS2 RIGHT_GLOBUS2 
2.647866308689117432e-01 2.837584614753723145e-01 1.691245585680007935e-01 1.670251935720443726e-01 1.783962547779083252e-01 1.767115741968154907e-01 2.300216108560562134e-01 2.224714159965515137e-01
2.516326904296875000e-01 2.490109205245971680e-01 1.459590345621109009e-01 1.449530422687530518e-01 1.981706023216247559e-01 1.698826402425765991e-01 2.251229733228683472e-01 2.282845228910446167e-01
1.054738283157348633e+00 1.055610299110412598e+00 9.250873923301696777e-01 9.323908090591430664e-01 9.163355827331542969e-01 8.952528238296508789e-01 1.016923904418945312e+00 1.033940196037292480e+00
2.652480602264404297e-01 2.782435715198516846e-01 1.328692734241485596e-01 1.446670293807983398e-01 1.634576171636581421e-01 1.678309738636016846e-01 2.341364622116088867e-01 2.125372588634490967e-01
2.643627226352691650e-01 2.663965523242950439e-01 1.419226229190826416e-01 1.567679792642593384e-01 1.834119707345962524e-01 1.792113780975341797e-01 2.376321554183959961e-01 1.969040185213088989e-01
2.476291656494140625e-01 2.617346942424774170e-01 1.523443907499313354e-01 1.614608615636825562e-01 1.937979012727737427e-01 1.902231425046920776e-01 2.028349041938781738e-01 2.266922742128372192e-01
1.083067893981933594e+00 1.097667455673217773e+00 9.841349124908447266e-01 9.754260182380676270e-01 9.596416354179382324e-01 9.558138847351074219e-01 9.824920892715454102e-01 9.573088884353637695e-01
2.632848620414733887e-01 2.754821479320526123e-01 1.479399502277374268e-01 1.637117415666580200e-01 1.796216517686843872e-01 1.709725111722946167e-01 2.409897595643997192e-01 2.251884639263153076e-01
1.096300482749938965e+00 1.098713040351867676e+00 9.838451147079467773e-01 9.923545122146606445e-01 9.839659333229064941e-01 9.665885567665100098e-01 9.980391860008239746e-01 1.001574277877807617e+00
1.047571182250976562e+00 1.056311488151550293e+00 9.547176957130432129e-01 9.391091465950012207e-01 9.273378849029541016e-01 9.228504896163940430e-01 9.319653511047363281e-01 9.431816339492797852e-01
1.110634803771972656e+00 1.102545976638793945e+00 9.879103302955627441e-01 1.003520727157592773e+00 9.531147480010986328e-01 9.414870142936706543e-01 9.942717552185058594e-01 9.673493504524230957e-01
1.053050041198730469e+00 1.057550072669982910e+00 9.014967679977416992e-01 9.251612424850463867e-01 9.359710216522216797e-01 9.148218035697937012e-01 9.844213724136352539e-01 9.812375307083129883e-01
