# LEFT_THALAMUS RIGHT_THALAMUS LEFT_CAUDATE RIGHT_CAUDATE LEFT_PUTAMEN RIGHT_PUTAMEN LEFT_GLOBUS2 RIGHT_GLOBUS2 
1.062221974134445190e-01 1.004679054021835327e-01 1.430334150791168213e-01 1.208859160542488098e-01 9.915264695882797241e-02 1.068351715803146362e-01 9.515514224767684937e-02 9.451316297054290771e-02
7.306945323944091797e-02 7.016705721616744995e-02 8.042879402637481689e-02 8.321106433868408203e-02 8.936960250139236450e-02 8.061855286359786987e-02 8.769096434116363525e-02 8.385089784860610962e-02
6.544893234968185425e-02 7.173097878694534302e-02 8.350630849599838257e-02 7.905384153127670288e-02 7.505910843610763550e-02 7.886910438537597656e-02 7.155275344848632812e-02 6.804379820823669434e-02
7.324221730232238770e-02 7.753749191761016846e-02 8.076348155736923218e-02 7.576759159564971924e-02 8.681227266788482666e-02 8.259108662605285645e-02 8.454121649265289307e-02 8.776076883077621460e-02
1.294599622488021851e-01 1.435475945472717285e-01 2.121795862913131714e-01 2.174400091171264648e-01 1.039057299494743347e-01 9.900796413421630859e-02 9.483023732900619507e-02 9.919159114360809326e-02
6.868271529674530029e-02 7.059960067272186279e-02 6.891671568155288696e-02 7.477848231792449951e-02 6.674921512603759766e-02 6.839685887098312378e-02 6.293781846761703491e-02 6.801430135965347290e-02
6.712274998426437378e-02 7.332614809274673462e-02 8.279594033956527710e-02 8.218484371900558472e-02 7.835189998149871826e-02 7.735512405633926392e-02 8.598352968692779541e-02 7.174021005630493164e-02
7.825544476509094238e-02 7.601863145828247070e-02 8.028364181518554688e-02 8.196752518415451050e-02 9.005238115787506104e-02 8.187811821699142456e-02 8.195037394762039185e-02 8.043846487998962402e-02
1.132659316062927246e-01 1.212432160973548889e-01 1.265115439891815186e-01 1.234706863760948181e-01 1.344584375619888306e-01 1.123064458370208740e-01 9.954757988452911377e-02 1.474269628524780273e-01
7.150628417730331421e-02 7.690334320068359375e-02 5.951468646526336670e-02 6.694473326206207275e-02 7.114897668361663818e-02 7.580594718456268311e-02 7.539550960063934326e-02 8.558863401412963867e-02
7.470331341028213501e-02 7.347603887319564819e-02 7.177983224391937256e-02 7.790742814540863037e-02 8.314191550016403198e-02 8.467404544353485107e-02 8.365811407566070557e-02 6.900056451559066772e-02
6.749299168586730957e-02 7.302974909543991089e-02 6.965127587318420410e-02 7.853116840124130249e-02 7.637952268123626709e-02 8.022490143775939941e-02 7.337301224470138550e-02 7.874852418899536133e-02
1.349592357873916626e-01 1.199229955673217773e-01 1.628676354885101318e-01 1.396731436252593994e-01 1.376584470272064209e-01 1.427179425954818726e-01 1.593550145626068115e-01 1.853977143764495850e-01
6.901247054338455200e-02 6.941187381744384766e-02 7.565027475357055664e-02 7.835948467254638672e-02 7.873642444610595703e-02 8.141113072633743286e-02 7.440052181482315063e-02 8.118213713169097900e-02
1.087594479322433472e-01 1.139095425605773926e-01 1.353641450405120850e-01 1.392095237970352173e-01 1.767886877059936523e-01 1.332730501890182495e-01 1.039460301399230957e-01 1.261705011129379272e-01
1.039116084575653076e-01 1.096387729048728943e-01 1.295185685157775879e-01 1.220550835132598877e-01 1.223315894603729248e-01 1.217093765735626221e-01 1.081922799348831177e-01 1.290742903947830200e-01
1.458088159561157227e-01 1.321185231208801270e-01 2.106468826532363892e-01 2.226517796516418457e-01 1.243517547845840454e-01 1.218798756599426270e-01 1.106378808617591858e-01 1.076845228672027588e-01
1.015392467379570007e-01 1.170028522610664368e-01 1.047591790556907654e-01 1.116910949349403381e-01 1.586623340845108032e-01 1.250750422477722168e-01 1.527178287506103516e-01 1.360889971256256104e-01
1.231679245829582214e-01 1.102348566055297852e-01 1.094360649585723877e-01 1.092897877097129822e-01 1.158849000930786133e-01 1.356755942106246948e-01 1.301247924566268921e-01 1.269435286521911621e-01
7.487902790307998657e-02 7.510448992252349854e-02 7.176768779754638672e-02 6.633914262056350708e-02 7.784148305654525757e-02 7.328042387962341309e-02 6.998714059591293335e-02 6.467877328395843506e-02
1.271685361862182617e-01 1.354639828205108643e-01 2.306685894727706909e-01 2.546063661575317383e-01 1.166810691356658936e-01 1.154527887701988220e-01 1.354923099279403687e-01 1.341816484928131104e-01
1.404872983694076538e-01 1.347911953926086426e-01 1.787178963422775269e-01 1.493003815412521362e-01 1.115555688738822937e-01 1.094173267483711243e-01 9.642942994832992554e-02 9.611229598522186279e-02
6.557299941778182983e-02 6.601883471012115479e-02 6.711320579051971436e-02 7.888867706060409546e-02 7.977791130542755127e-02 8.099358528852462769e-02 7.110740989446640015e-02 7.130309939384460449e-02
1.250931322574615479e-01 1.315756738185882568e-01 1.311962455511093140e-01 1.018529161810874939e-01 8.786670118570327759e-02 1.700578927993774414e-01 1.250630766153335571e-01 1.256033629179000854e-01
